theatre_id;title;author;director;url;genre;start_date;end_date;salle;editorspick
le-mouffetard;Sillages;Faustine Noguès;Guillaume Lecamus;https://lemouffetard.com/saison-2025-26/spectacles/sillages;;21/01/2025;31/01/2025;Le Mouffetard – CNMa;
le-mouffetard;Hector, l'homme extraordinairement fort;Magali Le Huche;Mathilde Henry;https://lemouffetard.com/saison-2025-26/spectacles/hector;;11/02/2025;14/02/2025;IVT;
le-mouffetard;COFFRE;Laurent Fraunié / Valérian Guillaume / Nicolas Mathieu;Laurent Fraunié;https://lemouffetard.com/saison-2025-26/spectacles/coffre;;12/02/2025;19/02/2025;Le Mouffetard – CNMa;
le-mouffetard;Dans mon foutu zoo;Louis Sergejev;;https://lemouffetard.com/saison-2025-26/spectacles/dans-mon-foutu-zoo;;12/02/2025;21/02/2025;Théâtre Silvia Monfort;
le-mouffetard;Pro Bono Publico;;Dominique Habouzit;https://lemouffetard.com/saison-2025-26/spectacles/pro-bono-publico;;10/03/2026;19/03/2026;Le Mouffetard – CNMa;
le-mouffetard;L'Homme-Orchestre;;Santiago Moreno;https://lemouffetard.com/saison-2025-26/spectacles/l-homme-orchestre;;25/03/2026;25/03/2026;La Moquette;
le-mouffetard;Soledad;Santiago Moreno;Delphine Bardot / Santiago Moreno / Benoît Dattez;https://lemouffetard.com/saison-2025-26/spectacles/soledad;;26/03/2026;04/04/2026;Le Mouffetard – CNMa;
le-mouffetard;Une Histoire autrichienne;Marion Solange-Malenfant;Benjamin Ducasse;https://lemouffetard.com/saison-2025-26/spectacles/une-histoire-autrichienne;;10/04/2026;18/04/2026;Le Mouffetard – CNMa;true
rond-point;Scènes d'intérieur;Mélanie Leray / Édouard Delelis;Mélanie Leray;https://www.theatredurondpoint.fr/fr/programmation/saison-25-26/theatre/scenes-dinterieur;;10/03/2026;21/03/2026;Salle Jean Tardieu;
rond-point;Et vous, qui êtes-vous ?;Paloma Pradal ;Paloma Pradal / Florent Mateo;https://www.theatredurondpoint.fr/fr/programmation/saison-25-26/theatre/et-vous-qui-etes-vous;;10/03/2026;21/03/2026;Salle Roland Topor;
rond-point;Foutue Bergerie;Pierre Guillois;Pierre Guillois;https://www.theatredurondpoint.fr/fr/programmation/saison-25-26/theatre/foutue-bergerie;comique;11/03/2026;22/03/2026;Salle Renaud-Barrault;
rond-point;Ne pas finir comme Roméo et Juliette;Métilde Weyergans / Samuel Hercule;Métilde Weyergans / Samuel Hercule;https://www.theatredurondpoint.fr/fr/programmation/saison-25-26/en-famille/ne-pas-finir-comme-romeo-et-juliette;;24/03/2026;29/03/2026;Salle Jean Tardieu;true
rond-point;Koko le clown;;;https://www.theatredurondpoint.fr/fr/programmation/saison-25-26/en-famille/koko-le-clown;;27/03/2026;29/03/2026;Salle Roland Topor;
rond-point;La Vie secrète des vieux;;Mohamed El Khatib;https://www.theatredurondpoint.fr/fr/programmation/saison-25-26/theatre/la-vie-secrete-des-vieux;;09/04/2026;18/04/2026;Salle Renaud-Barrault;
rond-point;Short Message Service;Suzanne de Baecque / Joaquim Fossi;Suzanne de Baecque / Joaquim Fossi;https://www.theatredurondpoint.fr/fr/programmation/saison-25-26/performance/short-message-service;;11/04/2026;17/04/2026;Salle Roland Topor;
rond-point;L'Apocalypse d'Adam et Aimée;Aimé Césaire;Adama Diop;https://www.theatredurondpoint.fr/fr/programmation/saison-25-26/theatre/lapocalypse-dadam-et-aimee;;15/04/2026;18/04/2026;Salle Jean Tardieu;
rond-point;Le Syndrome de Cassandre;Yann Frisch;Yann Frisch;https://www.theatredurondpoint.fr/fr/programmation/saison-25-26/clown/le-syndrome-de-cassandre-1;;05/05/2026;17/05/2026;Salle Jean Tardieu;
