theatre_id;title;author;director;url;start_date;end_date;salle;type;editorspick
maison-des-metallos;Les Subversives;Tiphaine Gentilleau;;https://www.maisondesmetallos.paris/spectacle-les-filles-de-simone-les-subversives;31/03/2027;02/04/2027;;théâtre;
maison-des-metallos;Le Birgit Kabarett;Julie Bertin et Jade Herbulot;Julie Bertin et Jade Herbulot;https://www.maisondesmetallos.paris/spectacle-birgit-ensemble-birgit-kabarett-opus-7;01/04/2027;03/04/2027;;théâtre;
maison-des-metallos;L’Omelette aux champignon;Claire Lapeyre-Mazerat & Mélanie Martinez-Llense;Claire Lapeyre-Mazerat & Mélanie Martinez-Llense;https://www.maisondesmetallos.paris/spectacle-l-omelette-aux-champignons-claire-lapeyre-mazerat-melanie-martinez-llense;10/06/2027;19/06/2027;;théâtre;true
theatre-du-soleil;Ici sont les Dragons;;;https://www.theatre-du-soleil.fr/fr/notre-theatre/les-spectacles/ici-sont-les-dragons-2024-2470;30/09/2026;30/11/2026;;théâtre;
theatre-du-soleil;La clairvoyance des folles;Chloé de Broca;Chloé de Broca;https://www.theatre-du-soleil.fr/fr/agenda-2026/la-clairvoyance-des-folles-2026-2493;30/09/2026;11/10/2026;;théâtre;
theatre-de-la-tempete;josef k.;Franz Kafka;Clément Poirée;https://www.la-tempete.fr/josef-k;11/09/2026;18/10/2026;;théâtre;true
theatre-de-la-tempete;la mort de jean-marie de balma;Vincent Guédon ;Pascal Kirsch ;https://www.la-tempete.fr/la-mort-de-jean-marie-de-balma;17/09/2026;18/10/2026;;théâtre;
theatre-13;Marasme;Collectif La Cabale;Collectif La Cabale;https://theatre13.com/spectacle/marasme/;22/09/2026;09/10/2026;Bibliothèque;théâtre;
theatre-13;Qui pour protéger les monstres des cauchemars ?;Mélo Lauret;Mélo Lauret et Élisa Monteil;https://theatre13.com/spectacle/qui-pour-proteger-les-monstres-des-cauchemars/;23/09/2026;03/10/2026;Glacière;théâtre;
theatre-13;Thérèse et Isabelle;Violette Leduc;Marie Fortuit;https://theatre13.com/spectacle/therese-et-isabelle/;02/11/2026;14/11/2026;Bibliothèque;théâtre;
theatre-13;07 83 63 54 73;Célia Jaillet;Célia Jaillet;https://theatre13.com/spectacle/07-83-63-54-73-2/;02/11/2026;14/11/2026;Glacière;théâtre;
theatre-13;Les Vibrations du verre;Igor Kovalsky;Igor Kovalsky;https://theatre13.com/spectacle/les-vibrations-du-verre-2/;16/11/2026;17/11/2026;Glacière;théâtre;
theatre-13;Insectes;Jô Bilac;Amanda Tedesco;https://theatre13.com/spectacle/insectes-2/;19/11/2026;20/11/2026;Glacière;théâtre;
theatre-13;OVNI;Ivan Viripaev;Pauline Briand et Hugo Plassard;https://theatre13.com/spectacle/ovni-2/;23/11/2026;24/11/2026;Glacière;théâtre;
theatre-13;J’attends peu, j’aspire à beaucoup;Hugues Duchêne;Hugues Duchêne;https://theatre13.com/spectacle/jattends-peu-jaspire-a-beaucoup/;25/11/2026;11/12/2026;Bibliothèque;théâtre;
theatre-13;Le Goût du bleu;Angèle Garnier;Angèle Garnier;https://theatre13.com/spectacle/le-gout-du-bleu-2/;26/11/2026;27/11/2026;Glacière;théâtre;
theatre-13;L’Enclos;Julien Gallix, Léa Constance Piette;Julien Gallix, Léa Constance Piette;https://theatre13.com/spectacle/lenclos-2/;30/11/2026;01/12/2026;Glacière;théâtre;
theatre-13;Mi madre y el dinero;Anacarsis Ramos;Anacarsis Ramos;https://theatre13.com/spectacle/mi-madre-y-el-dinero/;15/12/2026;17/12/2026;Bibliothèque;théâtre;
theatre-13;Anti-magie;Juan Bescós;Juan Bescós;https://theatre13.com/spectacle/anti-magie/;07/01/2027;15/01/2027;Bibliothèque;théâtre;
theatre-13;You don’t know me;Ana Maria Haddad Zavadinack;Ana Maria Haddad Zavadinack;https://theatre13.com/spectacle/you-dont-know-me/;13/01/2027;23/01/2027;Glacière;théâtre;
theatre-13;Esprit vieille;Éléonore Barrault;Éléonore Barrault;https://theatre13.com/spectacle/esprit-vieille/;20/01/2027;28/01/2027;Bibliothèque;théâtre;
theatre-13;Place;Tamara Al Saadi;Tamara Al Saadi;https://theatre13.com/spectacle/place/;23/02/2027;27/02/2027;Bibliothèque;théâtre;
theatre-13;Le Monde brûle et moi, je m’achète des Nike;Anturia Soilihi;Victoria Ribeiro;https://theatre13.com/spectacle/le-monde-brule-et-moi-je-machete-des-nike/;24/02/2027;06/03/2027;Glacière;théâtre;
theatre-13;Peut-être le hasard;Agathe Charnet;Agathe Charnet;https://theatre13.com/spectacle/peut-etre-le-hasard/;22/03/2027;02/04/2027;Bibliothèque;théâtre;
theatre-13;Quand on dort on n’a pas faim;;Anthony Martine;https://theatre13.com/spectacle/quand-on-dort-on-na-pas-faim/;19/04/2027;30/04/2027;Théâtre de la Bastille;théâtre;
theatre-13;Des yeux sur moi;;Lucile Rose;https://theatre13.com/spectacle/des-yeux-sur-moi/;20/04/2027;30/04/2027;Bibliothèque;théâtre;
theatre-13;Prix T13 2027;;;https://theatre13.com/spectacle/prix-t13-2027/;08/06/2027;26/06/2027;Glacière;théâtre;
theatre-13;Pour les Vivant·e·s;;Liza Machover;https://theatre13.com/spectacle/pour-les-vivant%c2%b7e%c2%b7s/;09/06/2027;19/06/2027;Bibliothèque;théâtre;
theatre-de-la-cite-internationale;Bunker;Marion Siéfert et Matthieu Bareyre;Marion Siéfert et Matthieu Bareyre;https://www.theatredelacite.com/fr/saison-26-27/bunker;08/10/2026;10/10/2026;Salle La Coupole;théâtre;true
theatre-de-la-cite-internationale;Confabulations;;Diederik Peeters;https://www.theatredelacite.com/fr/saison-26-27/confabulations;12/10/2026;13/10/2026;Salle La Galerie;théâtre;
theatre-de-la-cite-internationale;La Maison de Bernarda Alba;Federico García Lorca;Thibaud Croisy;https://www.theatredelacite.com/la-maison-de-bernarda-alba;13/10/2026;17/10/2026;Salle La Coupole;théâtre;
theatre-de-la-cite-internationale;GANESH VERSUS THE THIRD REICH;;Bruce Gladwin;https://www.theatredelacite.com/ganesh-versus-the-third-reich;17/11/2026;21/11/2026;Salle La Coupole;théâtre;true
theatre-silvia-monfort;Avec les pieds;Nicole Genovese;Jeanne Desoubeaux, Cie Maurice et les autres;https://theatresilviamonfort.eu/events/avec-les-pieds/;13/11/2026;22/11/2026;;théâtre;
theatre-silvia-monfort;Moby Dick;Herman Melville;Yngvild Aspeli, Compagnie Plexus Polaire;https://theatresilviamonfort.eu/events/moby-dick/;13/11/2026;22/11/2026;;marionnettes;true
theatre-silvia-monfort;Neró_Una puta historia de amor;Anna Lemonaki;Anna Lemonaki;https://theatresilviamonfort.eu/events/nero-una-puta-historia-de-amor/;04/02/2027;06/02/2027;;théâtre, danse;
theatre-silvia-monfort;Reprenons;Adrien Béal, Compagnie Théâtre Déplié;Adrien Béal;https://theatresilviamonfort.eu/events/reprenons/;17/03/2027;27/03/2027;;théâtre;
theatre-silvia-monfort;Tragédie démocratie;Lara Marcou & Marc Vittecoq, Le Groupe O;Lara Marcou & Marc Vittecoq;https://theatresilviamonfort.eu/events/tragedie-democratie/;20/04/2027;30/04/2027;;théâtre;
theatre-silvia-monfort;Cuervo;Oscar & Cosme Castro, La Comète ! & Théâtre Aleph;Oscar & Cosme Castro;https://theatresilviamonfort.eu/events/cuervo/;12/05/2027;22/05/2027;;théâtre;
